STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,coicop,Classification of individual consumption by purpose (COICOP),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,MT,Malta,2005,,6082,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,MT,Malta,2010,,5909,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,MT,Malta,2015,,5509,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,MT,Malta,2020,,5244,,e,estimated,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,NL,Netherlands,2005,,3089,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,NL,Netherlands,2010,,3029,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,NL,Netherlands,2015,,3458,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,NL,Netherlands,2020,,3835,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PL,Poland,2005,,2704,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PL,Poland,2010,,3464,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PL,Poland,2015,,3889,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PL,Poland,2020,,4234,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PT,Portugal,2005,,3243,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PT,Portugal,2010,,3097,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PT,Portugal,2015,,3555,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,PT,Portugal,2020,,3166,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,RO,Romania,2005,,2355,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,RO,Romania,2010,,3029,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,RO,Romania,2015,,3444,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,RO,Romania,2020,,4044,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SE,Sweden,2005,,2913,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SE,Sweden,2010,,3349,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SE,Sweden,2015,,3339,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SI,Slovenia,2005,,3966,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SI,Slovenia,2010,,3707,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SI,Slovenia,2015,,3726,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SI,Slovenia,2020,,3585,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SK,Slovakia,2005,,2910,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SK,Slovakia,2010,,3312,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SK,Slovakia,2015,,3767,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,SK,Slovakia,2020,,3171,,,,,
