STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2019,,103.4403056,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2020,,104.1161944,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2021,,108.3073611,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2022,,126.3848611,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2023,,134.9336944,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,EL,Greece,2024,,138.8482639,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2016,,100.8493793,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2017,,105.419023,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2018,,108.4326437,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2019,,114.9723563,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2020,,124.5814368,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2021,,136.7471552,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2022,,184.8627874,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2023,,200.6036782,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,HU,Hungary,2024,,200.9842391,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2016,,98.90375,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2017,,101.4989583,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2018,,103.1673401,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2019,,103.6023569,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2020,,104.2791246,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2021,,110.9255892,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,IE,Ireland,2022,,126.556229,,e,estimated,,
